Overall: 
SDC: 13.560172638763424%
Benign: 43.751881963264076%
Crash: 42.6879453979725%
Breakdown: 
-- FI Index: 817, SDC: 0.0, Benign: 0.04672897196261682, Crash: 0.9532710280373832, Total FI: 107
-- FI Index: 818, SDC: 0.010101010101010102, Benign: 0.31313131313131315, Crash: 0.6767676767676768, Total FI: 99
-- FI Index: 819, SDC: 0.0, Benign: 0.21495327102803738, Crash: 0.7850467289719626, Total FI: 107
-- FI Index: 820, SDC: 0.47191011235955055, Benign: 0.5280898876404494, Crash: 0.0, Total FI: 89
-- FI Index: 821, SDC: 0.4636363636363636, Benign: 0.5363636363636364, Crash: 0.0, Total FI: 110
-- FI Index: 991, SDC: 0.7142857142857143, Benign: 0.2857142857142857, Crash: 0.0, Total FI: 7
-- FI Index: 556, SDC: 0.0, Benign: 0.25, Crash: 0.75, Total FI: 8
-- FI Index: 833, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 10
-- FI Index: 835, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 5
-- FI Index: 836, SDC: 0.125, Benign: 0.125, Crash: 0.75, Total FI: 8
-- FI Index: 839, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 4
-- FI Index: 840, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 11
-- FI Index: 842, SDC: 0.0, Benign: 0.2222222222222222, Crash: 0.7777777777777778, Total FI: 9
-- FI Index: 843, SDC: 0.0, Benign: 0.09090909090909091, Crash: 0.9090909090909091, Total FI: 11
-- FI Index: 845, SDC: 0.0, Benign: 0.6, Crash: 0.4, Total FI: 10
-- FI Index: 847, SDC: 0.0, Benign: 0.3333333333333333, Crash: 0.6666666666666666, Total FI: 3
-- FI Index: 852, SDC: 0.011428571428571429, Benign: 0.9885714285714285, Crash: 0.0, Total FI: 350
-- FI Index: 853, SDC: 0.14127423822714683, Benign: 0.8587257617728532, Crash: 0.0, Total FI: 361
-- FI Index: 608, SDC: 0.01694915254237288, Benign: 0.0, Crash: 0.9830508474576272, Total FI: 59
-- FI Index: 1167, SDC: 0.10526315789473684, Benign: 0.05263157894736842, Crash: 0.8421052631578947, Total FI: 19
-- FI Index: 656, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 67
-- FI Index: 571, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 1
-- FI Index: 813, SDC: 0.0, Benign: 0.058823529411764705, Crash: 0.9411764705882353, Total FI: 17
-- FI Index: 1169, SDC: 0.26666666666666666, Benign: 0.13333333333333333, Crash: 0.6, Total FI: 15
-- FI Index: 80, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 4
-- FI Index: 1120, SDC: 0.75, Benign: 0.25, Crash: 0.0, Total FI: 4
-- FI Index: 1170, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 11
-- FI Index: 573, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 1
-- FI Index: 659, SDC: 0.016666666666666666, Benign: 0.2, Crash: 0.7833333333333333, Total FI: 60
-- FI Index: 1172, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 22
-- FI Index: 1174, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 15
-- FI Index: 577, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 2
-- FI Index: 47, SDC: 0.5, Benign: 0.0, Crash: 0.5, Total FI: 2
-- FI Index: 1175, SDC: 0.2222222222222222, Benign: 0.0, Crash: 0.7777777777777778, Total FI: 18
-- FI Index: 1022, SDC: 0.0, Benign: 0.1875, Crash: 0.8125, Total FI: 16
-- FI Index: 593, SDC: 0.0, Benign: 0.375, Crash: 0.625, Total FI: 8
-- FI Index: 525, SDC: 0.0, Benign: 0.5, Crash: 0.5, Total FI: 2
-- FI Index: 666, SDC: 0.0, Benign: 0.9, Crash: 0.1, Total FI: 10
-- FI Index: 82, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 7
-- FI Index: 1105, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 2
-- FI Index: 71, SDC: 0.125, Benign: 0.125, Crash: 0.75, Total FI: 8
-- FI Index: 1295, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 1
